"Notes"	"State"	"State Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Year"	"Year Code"	Births	Female Population	Fertility Rate
	"Alabama"	"01"	"Under 15 years"	"15"	"2007"	"2007"	136	Not Available	Not Available
	"Alabama"	"01"	"Under 15 years"	"15"	"2008"	"2008"	160	Not Available	Not Available
	"Alabama"	"01"	"Under 15 years"	"15"	"2009"	"2009"	160	Not Available	Not Available
	"Alabama"	"01"	"Under 15 years"	"15"	"2010"	"2010"	110	Not Available	Not Available
	"Alabama"	"01"	"Under 15 years"	"15"	"2011"	"2011"	95	Not Available	Not Available
	"Alabama"	"01"	"Under 15 years"	"15"	"2012"	"2012"	88	Not Available	Not Available
	"Alabama"	"01"	"Under 15 years"	"15"	"2013"	"2013"	64	Not Available	Not Available
	"Alabama"	"01"	"Under 15 years"	"15"	"2014"	"2014"	64	Not Available	Not Available
	"Alabama"	"01"	"Under 15 years"	"15"	"2015"	"2015"	52	Not Available	Not Available
	"Alabama"	"01"	"Under 15 years"	"15"	"2016"	"2016"	48	Not Available	Not Available
	"Alabama"	"01"	"Under 15 years"	"15"	"2017"	"2017"	44	Not Available	Not Available
	"Alabama"	"01"	"Under 15 years"	"15"	"2018"	"2018"	38	Not Available	Not Available
	"Alabama"	"01"	"Under 15 years"	"15"	"2019"	"2019"	47	Not Available	Not Available
	"Alabama"	"01"	"Under 15 years"	"15"	"2020"	"2020"	50	Not Available	Not Available
	"Alabama"	"01"	"15-19 years"	"15-19"	"2007"	"2007"	8696	167011	52.07
	"Alabama"	"01"	"15-19 years"	"15-19"	"2008"	"2008"	8559	169375	50.53
	"Alabama"	"01"	"15-19 years"	"15-19"	"2009"	"2009"	8205	169867	48.30
	"Alabama"	"01"	"15-19 years"	"15-19"	"2010"	"2010"	7343	168320	43.63
	"Alabama"	"01"	"15-19 years"	"15-19"	"2011"	"2011"	6609	163082	40.53
	"Alabama"	"01"	"15-19 years"	"15-19"	"2012"	"2012"	6195	158223	39.15
	"Alabama"	"01"	"15-19 years"	"15-19"	"2013"	"2013"	5392	157099	34.32
